SectionID,PersonID,LastName,FirstName,Phone,Email,EnrollmentStatus,TuitionAmount,Grade,TermID
10006,1208,Toro,Veronica,555-618-5484,vtoro96@loremail.com,EN,495,A,120
10002,1209,Harrell,Stephanie,555-253-6420,sharrell37@loremail.com,EN,495,A,120
10002,362,King,Bruce,555-159-1224,bking34@loremail.com,EN,495,A,120
10002,324,Freeman,Veronica,555-621-0828,vfreeman23@loremail.com,EN,495,A,120
10006,1210,Burkett,Kellie,555-087-9518,kburkett62@loremail.com,EN,495,A,120
10006,1211,Walker,Sue,555-662-0106,swalker64@loremail.com,EN,495,A,120
10006,817,Ponder,Carl,555-118-0444,cponder30@loremail.com,EN,495,A,120
10006,1212,Carreon,Lauri,555-025-4541,lcarreon93@loremail.com,EN,495,A,120
10006,1213,Ellison,Harry,555-052-6148,hellison30@loremail.com,EN,495,A,120
10006,1214,Ballinger,Michaela,555-086-9540,mballinger13@loremail.com,EN,495,A,120
10006,1215,Barnes,Peter,555-490-7740,pbarnes78@loremail.com,EN,495,A,120
10006,1216,Davis,Ray,555-522-2308,rdavis45@loremail.com,EN,495,B,120
10013,1218,Cole,Stephen,555-727-6831,scole19@loremail.com,EN,495,B,120
10013,1219,Rivera,Tony,555-973-7013,trivera70@loremail.com,EN,495,A,120
10013,1220,Ingraham,Lorena,555-901-3635,lingraham93@loremail.com,EN,495,A,120
10013,1221,Garcia,Mary,555-968-7783,mgarcia12@loremail.com,EN,495,A,120
10013,1222,Johnston,Bryan,555-893-5930,bjohnston99@loremail.com,EN,495,A,120
10013,969,Canada,George,555-334-7768,gcanada30@loremail.com,EN,495,A,120
10013,1223,Dickens,Gregory,555-172-5163,gdickens49@loremail.com,EN,495,A,120
10013,1224,Ralston,Anthony,555-881-1310,aralston75@loremail.com,EN,495,A,120
10013,1225,Hudgens,Stephen,555-616-8035,shudgens79@loremail.com,EN,495,A,120
10013,1226,Kennedy,Shannon,555-877-9324,skennedy14@loremail.com,EN,495,A,120
10013,18,Hayes,Fred,555-150-1993,fhayes53@loremail.com,EN,495,A,120
10020,1227,Bird,Mark,555-630-1782,mbird89@loremail.com,EN,495,A,120
10020,1228,Holler,Lisa,555-023-8047,lholler37@loremail.com,EN,495,A,120
10020,1229,Fontaine,Morgan,555-015-2536,mfontaine50@loremail.com,EN,495,A,120
10020,1230,Napier,Jeffrey,555-104-2163,jnapier20@loremail.com,EN,495,A,120
10002,1231,May,Gerald,555-507-4140,gmay70@loremail.com,EN,495,A,120
10002,1232,Grey,Lisa,555-218-5712,lgrey44@loremail.com,EN,495,A,120
10002,551,Watson,Annette,555-278-4594,awatson42@loremail.com,EN,495,B,120
10006,1234,Lancaster,Stephen,555-114-7385,slancaster39@loremail.com,EN,495,A,120
10006,1235,Vang,Steven,555-678-9846,svang23@loremail.com,EN,495,A,120
10003,1236,Stewart,James,555-618-2366,jstewart5@loremail.com,EN,495,A,120
10003,1237,Timmons,Irma,555-821-2606,itimmons26@loremail.com,EN,495,F,120
10003,1238,West,Michael,555-352-5933,mwest83@loremail.com,EN,495,A,120
10003,1239,Hernandez,Julian,555-601-7331,jhernandez87@loremail.com,EN,495,A,120
10003,1240,White,Rodrick,555-323-5901,rwhite74@loremail.com,EN,495,A,120
10003,792,Todd,Mike,555-107-0452,mtodd52@loremail.com,EN,495,A,120
10003,387,Olsen,Jonathan,555-357-5946,jolsen32@loremail.com,EN,495,A,120
10003,435,Marsh,Michael,555-014-3762,mmarsh100@loremail.com,EN,495,B,120
10003,417,Moen,James,555-644-4527,jmoen12@loremail.com,EN,495,A,120
10007,1241,Moore,Dwayne,555-178-1776,dmoore62@loremail.com,EN,495,A,120
10007,348,Clark,Larry,555-946-6234,lclark68@loremail.com,EN,495,A,120
10006,1242,Pearce,Chantal,555-360-8048,cpearce66@loremail.com,EN,495,A,120
10007,429,Ayala,John,555-251-8004,jayala93@loremail.com,EN,495,A,120
10007,1243,Ross,Katherine,555-258-6555,kross2@loremail.com,EN,495,B,120
10007,846,Knight,Michael,555-957-9471,mknight10@loremail.com,EN,495,A,120
10015,701,Latham,Tracy,555-294-6235,tlatham11@loremail.com,EN,495,A,120
10015,19,Mills,David,555-170-2424,dmills73@loremail.com,EN,495,A,120
10015,90,Couch,Mark,555-812-9470,mcouch31@loremail.com,EN,495,A,120
10015,200,Williams,Jeffrey,555-641-6946,jwilliams54@loremail.com,EN,495,A,120
10015,601,Bennett,Lisa,555-832-9681,lbennett10@loremail.com,EN,495,A,120
10015,448,Arthur,Jeffery,555-383-8297,jarthur97@loremail.com,EN,495,A,120
10015,1218,Cole,Stephen,555-727-6831,scole19@loremail.com,EN,495,A,120
10015,703,Kim,Brian,555-162-1484,bkim39@loremail.com,EN,495,A,120
10022,766,Chester,Sheila,555-510-4703,schester30@loremail.com,EN,495,A,120
10022,177,Marquez,Ira,555-763-5779,imarquez55@loremail.com,EN,495,A,120
10022,575,Kennedy,Robin,555-326-9392,rkennedy16@loremail.com,EN,495,A,120
10022,724,Smith,Caroline,555-184-3289,csmith49@loremail.com,EN,495,A,120
10022,1244,Sage,Timothy,555-758-7963,tsage50@loremail.com,EN,495,A,120
10022,66,Purnell,Ivonne,555-105-5219,ipurnell74@loremail.com,EN,495,B,120
