FacultyFirstName,FacultyLastName,FacultyEmail,PrimaryPhone,AlternatePhone,FacultyAddressLine,FacultyCity,FacultyState,FacultyPostalCode
QUINTINA,PONTIUS,quintina.pontius@latinsd.org,619-555-2118,,3715 COSTELLO AVENUE,San Diego,CA,92113
NERO,AFRICANUS,nero.africanus@latinsd.org,619-555-5670,619-555-3396,6488 HOOVER BOULEVARD,San Diego,CA,92122
LUCRETIA,SALVIUS,lucretia.salvius@latinsd.org,619-555-3985,619-555-6439,2527 PASEO AZUL,La Jolla,CA,92037
CORNELIA,CORNELIUS,cornelia.cornelius@latinsd.org,619-555-5742,,7386 LE SAGE AVENUE,San Diego,CA,92111
HERMINIA,HORATIUS,herminia.horatius@latinsd.org,619-555-6989,,7887 LASAINE AVENUE,San Diego,CA,92128
DOMITILLA,ROMILIUS,domitilla.romilius@latinsd.org,619-555-5998,619-555-7151,6938 23RD STREET,San Diego,CA,92104
GERMANUS,LUCIANUS,germanus.lucianus@latinsd.org,619-555-9473,619-555-3819,9319 ARNO WAY,San Diego,CA,92122
SABINA,MARIUS,sabina.marius@latinsd.org,619-555-2734,,2346 47TH PLACE,La Jolla,CA,92037
MARINUS,RUFUS,marinus.rufus@latinsd.org,619-555-2634,,5565 104TH PLACE,San Diego,CA,92108
LOUKIOS,MARIUS,loukios.marius@latinsd.org,619-555-4358,,2259 FULTON AVENUE,San Diego,CA,92111
OCTAVIA,LIVIUS,octavia.livius@latinsd.org,619-555-8834,619-555-1733,947 BALBOA AVENUE,Chula Vista,CA,92911
PLINIUS,OCTAVIUS,plinius.octavius@latinsd.org,619-555-8456,,1883 HALSEY STREET,San Diego,CA,92115
MARCELLA,VALENTINIANUS,marcella.valentinianus@latinsd.org,619-555-5955,,2457 BROMWICH PLACE,San Diego,CA,92109
PRISCA,AURELIUS,prisca.aurelius@latinsd.org,619-555-4657,,4675 BRIER AVENUE,San Diego,CA,92115
FABIA,JUNIUS,fabia.junius@latinsd.org,619-555-2638,619-555-1532,1456 CARMENITA LANE,San Diego,CA,92122
MAXIMUS,MERIDIUS,maximus.meridius@latinsd.org,619-555-5080,619-555-9604,324 HOLLOW SPRINGS DRIVE,La Mesa,CA,91941
PAULUS,MAXIMINUS,paulus.maximinus@latinsd.org,619-555-1539,619-555-7447,3309 ENERO COURT,San Diego,CA,92106
SABINA,CAELIUS,sabina.caelius@latinsd.org,619-555-1114,,4272 NORCROFT AVENUE,San Diego,CA,92124
VITUS,SERGIUS,vitus.sergius@latinsd.org,619-555-6069,,3281 ODELL AVENUE,San Diego,CA,92109
FELIX,QUINTIUS,felix.quintius@latinsd.org,619-555-6425,,8461 LONG BEACH COURT,San Diego,CA,92114
JULIUS,VIBIANUS,julius.vibianus@latinsd.org,619-555-1544,,8262 FALCON CREST COURT,San Diego,CA,92111
SEVERINA,TATIUS,severina.tatius@latinsd.org,619-555-9858,619-555-3449,1948 TAU PLACE,Santee,CA,92071
GRATIANA,TATIUS,gratiana.tatius@latinsd.org,619-555-5973,,8957 JEANNE LANE,San Diego,CA,92117
NERVA,POMPONIUS,nerva.pomponius@latinsd.org,619-555-7305,619-555-2497,2575 ESPRIT LANE,La Jolla,CA,92037
IOVITA,SENECA,iovita.seneca@latinsd.org,619-555-1012,619-555-8831,6894 WINDSOR BOULEVARD,San Diego,CA,91977
LUCIUS,BALBUS,lucius.balbus@latinsd.org,619-555-2707,,2957 CUESTA LINDA DRIVE,San Diego,CA,92122
MARTINA,AETIUS,martina.aetius@latinsd.org,619-555-3490,,5611 CRESTHAVEN DRIVE,San Diego,CA,92104
