SectionID,PersonID,LastName,FirstName,Phone,Email,EnrollmentStatus,TuitionAmount,Grade,TermID
11431,1370,Griffin,Kimberly,555-752-8201,kgriffin73@loremail.com,EN,495,A,304
10517,2287,Burdick,Walter,555-091-7111,wburdick69@loremail.com,DR,,,294
10517,2480,Stutzman,Robert,555-895-0925,rstutzman99@loremail.com,DR,,,294
10596,411,Sandberg,Frank,555-528-9114,fsandberg19@loremail.com,EN,495,A,290
10619,1066,Gordon,Thomas,555-291-4120,tgordon50@loremail.com,EN,495,A,290
10633,555,Wilder,Darcy,555-111-0337,dwilder58@loremail.com,DR,,,290
10604,408,Gentry,Patrick,555-451-9382,pgentry92@loremail.com,EN,450,B,290
10633,833,Basham,Robin,555-922-3160,rbasham65@loremail.com,DR,,,290
10604,462,Wilson,Carolyn,555-497-4858,cwilson83@loremail.com,EN,450,A,290
10597,1966,Perkins,Keith,555-637-2282,kperkins99@loremail.com,EN,495,A,290
10596,1749,Mccarthy,David,555-930-2138,dmccarthy83@loremail.com,EN,495,A,290
10602,1243,Ross,Katherine,555-258-6555,kross2@loremail.com,EN,495,A,290
10616,1243,Ross,Katherine,555-258-6555,kross2@loremail.com,EN,495,A,290
10626,2224,Amos,Linda,555-104-8684,lamos29@loremail.com,EN,495,A,290
10612,2519,Johnson,Erik,555-178-3542,ejohnson54@loremail.com,EN,495,A,290
10628,2501,Patel,Christopher,555-618-0666,cpatel59@loremail.com,EN,495,A,290
10618,2512,Young,Michael,555-989-6744,myoung49@loremail.com,EN,495,A,290
10631,951,Machado,Bobbi,555-003-2690,bmachado68@loremail.com,EN,495,A,290
10609,21,Collins,Tamy,555-219-0018,tcollins33@loremail.com,EN,495,A,290
10631,472,Warwick,Lisa,555-828-6126,lwarwick45@loremail.com,EN,495,A,290
10631,1606,Richardson,Abel,555-041-7049,arichardson2@loremail.com,EN,495,A,290
10633,1859,Mccorkle,Keith,555-145-1477,kmccorkle66@loremail.com,DR,,,290
10604,1859,Mccorkle,Keith,555-145-1477,kmccorkle66@loremail.com,EN,450,A,290
10608,1859,Mccorkle,Keith,555-145-1477,kmccorkle66@loremail.com,EN,495,B,290
10623,1859,Mccorkle,Keith,555-145-1477,kmccorkle66@loremail.com,EN,180,A,290
10604,1378,Ozuna,Annemarie,555-380-3137,aozuna73@loremail.com,EN,450,A,290
10619,2166,Russell,Jackie,555-373-2758,jrussell87@loremail.com,EN,495,B,290
10608,1714,Perez,Margaret,555-813-4155,mperez68@loremail.com,EN,495,A,290
10612,2487,Franks,Gwendolyn,555-307-0454,gfranks24@loremail.com,EN,495,A,290
10615,2517,Anderson,Denise,555-968-2964,danderson7@loremail.com,EN,495,B,290
10609,1319,Thomas,John,555-267-9119,jthomas97@loremail.com,EN,495,A,290
10603,2432,Taylor,Kevin,555-413-2596,ktaylor40@loremail.com,EN,495,A,290
10626,2074,Walters,Sean,555-862-1896,swalters50@loremail.com,EN,495,A,290
10622,2306,Herrera,Michael,555-156-9673,mherrera40@loremail.com,EN,495,A,290
10623,1166,Rose,Brenda,555-142-2183,brose13@loremail.com,EN,180,A,290
10609,967,Gilchrist,Elissa,555-052-8705,egilchrist63@loremail.com,EN,495,A,290
10610,1596,Roach,Dennis,555-842-0201,droach65@loremail.com,EN,495,A,290
10596,1920,Ross,Nicole,555-452-2801,nross68@loremail.com,EN,495,A,290
10596,1920,Ross,Nicole,555-452-2801,nross68@loremail.com,EN,495,A,290
